"data_category","action","action_name","column_name","event_name","price_code","old_value","new_value","upd_user","upd_datetime"
"Price Code","U","Update","price","E6BB0327","F","184.74","194.74","BRA502","2026-03-14 03:23:58.309"
"Price Code","I","Insert",NA,"E6BB0327","G",NA,"109.2|109.2||I|Standard Pricing|99.2|0.00|0.00|10.00|0.00","BRA501","2025-12-14 19:58:43.586"
"Price Code","U","Update","price","E6BB0327","G","109.2","134.2","BRA502","2026-01-26 02:38:09.425"
"Price Code","U","Update","price","E6BB0327","G","134.2","119.2","BRA501","2026-01-26 05:05:56.036"
"Price Code","U","Update","price","E6BB0327","G","119.2","149.2","BRA505","2026-02-24 09:21:55.089"
"Price Code","U","Update","price","E6BB0327","G","149.2","139.2","BRA509","2026-03-17 14:23:22.440"
"Price Code","I","Insert",NA,"E6BB0327","H",NA,"98.89|98.89||I|Standard Pricing|88.89|0.00|0.00|10.00|0.00","BRA505","2025-11-12 14:03:18.820"
"Price Code","U","Update","price","E6BB0327","H","98.89","128.89","BRA508","2026-03-14 05:18:12.530"
"Price Code","U","Update","price","E6BB0327","H","128.89","158.89","BRA504","2026-03-17 09:11:53.105"
"Price Code","U","Update","price","E6BB0327","H","158.89","163.89","BRA500","2026-03-23 15:09:51.346"
"Price Code","I","Insert",NA,"E6BB0327","I",NA,"70.2|70.2||I|Standard Pricing|60.2|0.00|0.00|10.00|0.00","BRA500","2025-11-18 21:09:55.126"
"Price Code","U","Update","price","E6BB0327","I","70.2","55.2","BRA504","2026-02-06 19:41:11.576"
"Price Code","U","Update","price","E6BB0327","I","55.2","40.2","BRA500","2026-03-04 07:09:57.587"
"Price Code","U","Update","price","E6BB0327","I","40.2","55.2","BRA501","2026-03-07 11:05:38.898"
"Price Code","U","Update","price","E6BB0327","I","55.2","65.2","BRA505","2026-03-09 22:10:34.105"
"Price Code","U","Update","price","E6BB0327","I","65.2","50.2","BRA500","2026-03-25 15:30:16.590"
"Price Code","I","Insert",NA,"E6BB0327","J",NA,"65.86|65.86||I|Standard Pricing|55.86|0.00|0.00|10.00|0.00","BRA509","2025-11-03 23:39:08.765"
"Price Code","U","Update","price","E6BB0327","J","65.86","80.86","BRA503","2026-01-29 20:08:17.819"
"Price Code","U","Update","price","E6BB0327","J","80.86","85.86","BRA507","2026-02-19 06:18:27.515"
"Price Code","U","Update","price","E6BB0327","J","85.86","75.86","BRA507","2026-03-01 12:13:53.218"
"Price Code","I","Insert",NA,"E6BB0327","K",NA,"49.16|49.16||I|Standard Pricing|39.16|0.00|0.00|10.00|0.00","BRA505","2025-11-23 22:25:02.430"
"Price Code","U","Update","price","E6BB0327","K","49.16","39.16","BRA510","2026-01-31 12:21:24.782"
"Price Code","U","Update","price","E6BB0327","K","39.16","59.16","BRA503","2026-02-07 06:08:57.670"
"Price Code","U","Update","price","E6BB0327","K","59.16","79.16","BRA503","2026-02-13 18:31:07.985"
"Price Code","U","Update","price","E6BB0327","K","79.16","99.16","BRA502","2026-03-08 11:13:57.647"
"Price Code","I","Insert",NA,"E6BB0327","L",NA,"43.67|43.67||I|Standard Pricing|33.67|0.00|0.00|10.00|0.00","BRA505","2025-12-14 21:31:42.262"
"Price Code","U","Update","price","E6BB0327","L","43.67","53.67","BRA508","2026-01-20 02:19:04.822"
"Price Code","U","Update","price","E6BB0327","L","53.67","63.67","BRA506","2026-03-19 06:59:53.871"
"Price Code","I","Insert",NA,"E6BB0327","M",NA,"31.99|31.99||I|Standard Pricing|21.99|0.00|0.00|10.00|0.00","BRA506","2025-11-03 13:03:12.666"
"Price Code","U","Update","price","E6BB0327","M","31.99","46.99","BRA502","2026-02-13 07:16:14.962"
"Price Code","U","Update","price","E6BB0327","M","46.99","76.99","BRA509","2026-03-03 16:52:14.917"
"Price Code","I","Insert",NA,"E6BB0327","N",NA,"25.27|25.27||I|Standard Pricing|15.27|0.00|0.00|10.00|0.00","BRA502","2025-12-01 20:28:37.499"
"Price Code","U","Update","price","E6BB0327","N","25.27","40.27","BRA510","2026-01-19 14:15:48.346"
"Price Code","U","Update","price","E6BB0327","N","40.27","30.27","BRA508","2026-01-19 14:31:06.934"
"Price Code","U","Update","price","E6BB0327","N","30.27","20.27","BRA509","2026-02-01 16:42:55.082"
"Price Code","U","Update","price","E6BB0327","N","20.27","35.27","BRA508","2026-02-23 19:55:40.755"
"Price Code","U","Update","price","E6BB0327","N","35.27","60.27","BRA510","2026-03-25 18:43:51.543"
"Price Code","I","Insert",NA,"E6BB0328","A",NA,"235.27|235.27||I|Standard Pricing|225.27|0.00|0.00|10.00|0.00","BRA502","2025-12-10 21:28:57.672"
"Price Code","U","Update","price","E6BB0328","A","235.27","220.27","BRA510","2026-01-17 21:45:07.478"
"Price Code","U","Update","price","E6BB0328","A","220.27","210.27","BRA504","2026-02-25 19:54:39.343"
"Price Code","U","Update","price","E6BB0328","A","210.27","205.27","BRA500","2026-03-12 13:04:17.463"
"Price Code","I","Insert",NA,"E6BB0328","B",NA,"226.72|226.72||I|Standard Pricing|216.72|0.00|0.00|10.00|0.00","BRA500","2025-11-30 14:30:36.160"
"Price Code","U","Update","price","E6BB0328","B","226.72","236.72","BRA504","2026-01-23 07:38:53.268"
"Price Code","U","Update","price","E6BB0328","B","236.72","221.72","BRA508","2026-01-28 06:19:55.078"
"Price Code","U","Update","price","E6BB0328","B","221.72","216.72","BRA501","2026-02-26 04:50:51.685"
"Price Code","U","Update","price","E6BB0328","B","216.72","226.72","BRA506","2026-03-20 06:26:53.593"
"Price Code","I","Insert",NA,"E6BB0328","C",NA,"206.28|206.28||I|Standard Pricing|196.28|0.00|0.00|10.00|0.00","BRA506","2025-11-08 23:55:41.889"
"Price Code","U","Update","price","E6BB0328","C","206.28","211.28","BRA507","2026-01-28 07:16:30.406"
"Price Code","U","Update","price","E6BB0328","C","211.28","236.28","BRA509","2026-01-29 20:02:48.038"
"Price Code","U","Update","price","E6BB0328","C","236.28","256.28","BRA510","2026-02-02 20:10:39.438"
"Price Code","I","Insert",NA,"E6BB0328","D",NA,"158.6|158.6||I|Standard Pricing|148.6|0.00|0.00|10.00|0.00","BRA505","2025-11-21 09:44:55.787"
"Price Code","U","Update","price","E6BB0328","D","158.6","163.6","BRA503","2026-01-27 01:50:36.731"
"Price Code","U","Update","price","E6BB0328","D","163.6","173.6","BRA508","2026-02-02 01:10:30.461"
"Price Code","U","Update","price","E6BB0328","D","173.6","163.6","BRA502","2026-02-11 19:33:04.038"
"Price Code","U","Update","price","E6BB0328","D","163.6","193.6","BRA508","2026-02-21 20:56:41.032"
"Price Code","U","Update","price","E6BB0328","D","193.6","208.6","BRA501","2026-03-05 06:28:27.103"
"Price Code","I","Insert",NA,"E6BB0328","E",NA,"156.09|156.09||I|Standard Pricing|146.09|0.00|0.00|10.00|0.00","BRA500","2025-11-17 08:26:48.948"
"Price Code","U","Update","price","E6BB0328","E","156.09","141.09","BRA510","2026-02-02 06:59:23.891"
"Price Code","U","Update","price","E6BB0328","E","141.09","126.09","BRA508","2026-02-23 01:24:49.961"
"Price Code","I","Insert",NA,"E6BB0328","F",NA,"112.01|112.01||I|Standard Pricing|102.01|0.00|0.00|10.00|0.00","BRA508","2025-11-13 12:41:07.532"
"Price Code","U","Update","price","E6BB0328","F","112.01","102.01","BRA503","2026-02-07 23:35:12.624"
"Price Code","U","Update","price","E6BB0328","F","102.01","87.01","BRA508","2026-03-02 11:43:46.277"
"Price Code","U","Update","price","E6BB0328","F","87.01","102.01","BRA510","2026-03-04 03:57:51.662"
"Price Code","I","Insert",NA,"E6BB0328","G",NA,"111.74|111.74||I|Standard Pricing|101.74|0.00|0.00|10.00|0.00","BRA503","2025-11-11 13:08:51.398"
"Price Code","U","Update","price","E6BB0328","G","111.74","101.74","BRA502","2026-02-07 23:08:35.384"
"Price Code","U","Update","price","E6BB0328","G","101.74","131.74","BRA502","2026-03-24 02:49:42.459"
"Price Code","U","Update","price","E6BB0328","G","131.74","161.74","BRA508","2026-03-26 08:26:57.457"
"Price Code","I","Insert",NA,"E6BB0328","H",NA,"87.94|87.94||I|Standard Pricing|77.94|0.00|0.00|10.00|0.00","BRA510","2025-12-03 04:12:44.219"
"Price Code","U","Update","price","E6BB0328","H","87.94","92.94","BRA503","2026-02-28 08:57:20.834"
"Price Code","U","Update","price","E6BB0328","H","92.94","97.94","BRA508","2026-03-03 09:34:50.935"
"Price Code","U","Update","price","E6BB0328","H","97.94","107.94","BRA505","2026-03-09 03:01:51.323"
"Price Code","I","Insert",NA,"E6BB0328","I",NA,"80.77|80.77||I|Standard Pricing|70.77|0.00|0.00|10.00|0.00","BRA501","2025-11-21 12:23:11.761"
"Price Code","U","Update","price","E6BB0328","I","80.77","110.77","BRA500","2026-02-16 16:08:38.534"
"Price Code","U","Update","price","E6BB0328","I","110.77","115.77","BRA507","2026-02-25 22:24:39.668"
"Price Code","U","Update","price","E6BB0328","I","115.77","100.77","BRA507","2026-03-07 15:14:41.113"
"Price Code","U","Update","price","E6BB0328","I","100.77","125.77","BRA501","2026-03-27 07:47:10.244"
"Price Code","I","Insert",NA,"E6BB0328","J",NA,"71.69|71.69||I|Standard Pricing|61.69|0.00|0.00|10.00|0.00","BRA500","2025-11-05 01:16:58.449"
"Price Code","U","Update","price","E6BB0328","J","71.69","91.69","BRA506","2026-01-15 19:59:28.583"
"Price Code","U","Update","price","E6BB0328","J","91.69","116.69","BRA503","2026-01-31 02:19:48.963"
"Price Code","U","Update","price","E6BB0328","J","116.69","106.69","BRA508","2026-02-09 09:23:59.765"
"Price Code","U","Update","price","E6BB0328","J","106.69","111.69","BRA504","2026-03-20 08:22:05.683"
"Price Code","I","Insert",NA,"E6BB0328","K",NA,"58.74|58.74||I|Standard Pricing|48.74|0.00|0.00|10.00|0.00","BRA503","2025-12-10 13:59:32.893"
"Price Code","U","Update","price","E6BB0328","K","58.74","53.74","BRA502","2026-01-21 11:01:20.893"
"Price Code","U","Update","price","E6BB0328","K","53.74","43.74","BRA505","2026-02-10 20:58:23.058"
"Price Code","U","Update","price","E6BB0328","K","43.74","48.74","BRA505","2026-03-21 11:29:54.739"
"Price Code","I","Insert",NA,"E6BB0328","L",NA,"39.66|39.66||I|Standard Pricing|29.66|0.00|0.00|10.00|0.00","BRA505","2025-11-11 02:49:39.414"
"Price Code","U","Update","price","E6BB0328","L","39.66","34.66","BRA509","2026-01-25 02:46:56.166"
"Price Code","U","Update","price","E6BB0328","L","34.66","29.66","BRA505","2026-02-01 10:14:57.446"
"Price Code","U","Update","price","E6BB0328","L","29.66","19.66","BRA510","2026-02-04 10:24:18.315"
"Price Code","U","Update","price","E6BB0328","L","19.66","49.66","BRA505","2026-03-01 07:36:30.789"
"Price Code","U","Update","price","E6BB0328","L","49.66","39.66","BRA505","2026-03-18 09:37:37.418"
"Price Code","I","Insert",NA,"E6BB0328","M",NA,"31.74|31.74||I|Standard Pricing|21.74|0.00|0.00|10.00|0.00","BRA502","2025-12-07 16:01:17.115"
"Price Code","U","Update","price","E6BB0328","M","31.74","21.74","BRA502","2026-02-14 05:39:21.004"
"Price Code","U","Update","price","E6BB0328","M","21.74","36.74","BRA509","2026-02-22 12:41:55.727"
"Price Code","I","Insert",NA,"E6BB0328","N",NA,"29.3|29.3||I|Standard Pricing|19.3|0.00|0.00|10.00|0.00","BRA505","2025-11-23 00:25:09.957"
"Price Code","U","Update","price","E6BB0328","N","29.3","49.3","BRA506","2026-01-20 07:00:12.156"
"Price Code","U","Update","price","E6BB0328","N","49.3","69.3","BRA505","2026-01-28 20:17:12.232"
"Price Code","U","Update","price","E6BB0328","N","69.3","99.3","BRA504","2026-02-12 22:44:47.165"
"Price Code","U","Update","price","E6BB0328","N","99.3","104.3","BRA509","2026-02-28 15:45:01.420"
"Price Code","U","Update","price","E6BB0328","N","104.3","119.3","BRA504","2026-03-11 04:51:11.359"
"Price Code","I","Insert",NA,"E6BB0329","A",NA,"226.92|226.92||I|Standard Pricing|216.92|0.00|0.00|10.00|0.00","BRA501","2025-11-07 11:55:04.631"
"Price Code","U","Update","price","E6BB0329","A","226.92","251.92","BRA508","2026-01-25 00:39:49.569"
"Price Code","U","Update","price","E6BB0329","A","251.92","266.92","BRA510","2026-01-25 03:01:07.044"
"Price Code","U","Update","price","E6BB0329","A","266.92","276.92","BRA505","2026-01-29 11:28:40.602"
"Price Code","U","Update","price","E6BB0329","A","276.92","266.92","BRA509","2026-02-12 19:22:36.829"
"Price Code","U","Update","price","E6BB0329","A","266.92","286.92","BRA510","2026-03-14 23:47:16.306"
"Price Code","I","Insert",NA,"E6BB0329","B",NA,"196.16|196.16||I|Standard Pricing|186.16|0.00|0.00|10.00|0.00","BRA500","2025-12-12 07:59:11.427"
"Price Code","U","Update","price","E6BB0329","B","196.16","181.16","BRA500","2026-01-21 22:22:17.738"
"Price Code","U","Update","price","E6BB0329","B","181.16","211.16","BRA509","2026-01-29 04:48:39.704"
"Price Code","U","Update","price","E6BB0329","B","211.16","216.16","BRA504","2026-01-29 11:16:48.543"
"Price Code","U","Update","price","E6BB0329","B","216.16","206.16","BRA502","2026-02-14 14:50:53.322"
"Price Code","U","Update","price","E6BB0329","B","206.16","201.16","BRA510","2026-03-03 09:26:27.837"
"Price Code","I","Insert",NA,"E6BB0329","C",NA,"209.18|209.18||I|Standard Pricing|199.18|0.00|0.00|10.00|0.00","BRA500","2025-11-07 18:26:06.283"
"Price Code","U","Update","price","E6BB0329","C","209.18","204.18","BRA500","2026-02-08 09:46:14.578"
"Price Code","U","Update","price","E6BB0329","C","204.18","229.18","BRA501","2026-02-15 00:11:18.669"
"Price Code","U","Update","price","E6BB0329","C","229.18","259.18","BRA509","2026-03-18 18:58:25.005"
"Price Code","I","Insert",NA,"E6BB0329","D",NA,"176.56|176.56||I|Standard Pricing|166.56|0.00|0.00|10.00|0.00","BRA503","2025-11-22 03:02:30.133"
"Price Code","U","Update","price","E6BB0329","D","176.56","171.56","BRA505","2026-01-19 11:18:06.088"
"Price Code","U","Update","price","E6BB0329","D","171.56","201.56","BRA505","2026-02-03 12:06:53.100"
"Price Code","U","Update","price","E6BB0329","D","201.56","196.56","BRA500","2026-03-26 07:21:51.480"
"Price Code","U","Update","price","E6BB0329","D","196.56","206.56","BRA508","2026-03-26 07:43:23.766"
"Price Code","I","Insert",NA,"E6BB0329","E",NA,"154.4|154.4||I|Standard Pricing|144.4|0.00|0.00|10.00|0.00","BRA505","2025-12-09 19:16:55.617"
"Price Code","U","Update","price","E6BB0329","E","154.4","174.4","BRA509","2026-01-26 19:20:21.722"
"Price Code","U","Update","price","E6BB0329","E","174.4","199.4","BRA502","2026-02-27 10:33:17.963"
"Price Code","I","Insert",NA,"E6BB0329","F",NA,"112.36|112.36||I|Standard Pricing|102.36|0.00|0.00|10.00|0.00","BRA501","2025-12-15 17:00:15.274"
"Price Code","U","Update","price","E6BB0329","F","112.36","132.36","BRA502","2026-02-13 13:28:48.059"
"Price Code","U","Update","price","E6BB0329","F","132.36","122.36","BRA502","2026-03-06 21:51:23.262"
"Price Code","I","Insert",NA,"E6BB0329","G",NA,"94.45|94.45||I|Standard Pricing|84.45|0.00|0.00|10.00|0.00","BRA500","2025-11-13 04:27:08.665"
"Price Code","U","Update","price","E6BB0329","G","94.45","89.45","BRA501","2026-02-01 01:26:16.109"
"Price Code","U","Update","price","E6BB0329","G","89.45","74.45","BRA506","2026-02-06 04:07:06.341"
"Price Code","I","Insert",NA,"E6BB0329","H",NA,"84.17|84.17||I|Standard Pricing|74.17|0.00|0.00|10.00|0.00","BRA501","2025-12-09 14:28:00.523"
"Price Code","U","Update","price","E6BB0329","H","84.17","69.17","BRA509","2026-02-25 12:43:47.488"
"Price Code","U","Update","price","E6BB0329","H","69.17","99.17","BRA500","2026-03-10 02:25:59.699"
"Price Code","U","Update","price","E6BB0329","H","99.17","94.17","BRA500","2026-03-18 17:26:24.254"
"Price Code","I","Insert",NA,"E6BB0329","I",NA,"71.68|71.68||I|Standard Pricing|61.68|0.00|0.00|10.00|0.00","BRA501","2025-11-20 04:24:54.935"
"Price Code","U","Update","price","E6BB0329","I","71.68","66.68","BRA501","2026-01-28 08:50:03.908"
"Price Code","U","Update","price","E6BB0329","I","66.68","56.68","BRA504","2026-02-26 05:10:42.402"
"Price Code","I","Insert",NA,"E6BB0329","J",NA,"67.36|67.36||I|Standard Pricing|57.36|0.00|0.00|10.00|0.00","BRA500","2025-11-07 09:45:51.918"
"Price Code","U","Update","price","E6BB0329","J","67.36","62.36","BRA506","2026-02-12 20:37:52.549"
"Price Code","U","Update","price","E6BB0329","J","62.36","47.36","BRA508","2026-02-20 23:42:39.876"
"Price Code","U","Update","price","E6BB0329","J","47.36","72.36","BRA500","2026-02-26 09:30:02.381"
"Price Code","U","Update","price","E6BB0329","J","72.36","62.36","BRA505","2026-03-04 04:36:39.277"
"Price Code","U","Update","price","E6BB0329","J","62.36","47.36","BRA501","2026-03-27 20:49:01.560"
"Price Code","I","Insert",NA,"E6BB0329","K",NA,"55.02|55.02||I|Standard Pricing|45.02|0.00|0.00|10.00|0.00","BRA508","2025-11-28 00:33:36.230"
"Price Code","U","Update","price","E6BB0329","K","55.02","85.02","BRA509","2026-02-14 08:15:11.688"
"Price Code","U","Update","price","E6BB0329","K","85.02","95.02","BRA500","2026-03-06 02:06:26.376"
"Price Code","U","Update","price","E6BB0329","K","95.02","120.02","BRA510","2026-03-23 11:41:15.790"
"Price Code","I","Insert",NA,"E6BB0329","L",NA,"45.15|45.15||I|Standard Pricing|35.15|0.00|0.00|10.00|0.00","BRA506","2025-11-04 04:34:12.751"
"Price Code","U","Update","price","E6BB0329","L","45.15","55.15","BRA502","2026-01-19 07:22:12.949"
"Price Code","U","Update","price","E6BB0329","L","55.15","65.15","BRA509","2026-03-14 04:22:10.471"
"Price Code","U","Update","price","E6BB0329","L","65.15","80.15","BRA505","2026-03-16 14:23:13.045"
"Price Code","I","Insert",NA,"E6BB0329","M",NA,"39.2|39.2||I|Standard Pricing|29.2|0.00|0.00|10.00|0.00","BRA508","2025-12-04 00:53:57.381"
"Price Code","U","Update","price","E6BB0329","M","39.2","59.2","BRA504","2026-02-10 16:15:42.358"
"Price Code","U","Update","price","E6BB0329","M","59.2","79.2","BRA509","2026-02-25 00:55:51.584"
"Price Code","I","Insert",NA,"E6BB0329","N",NA,"30.63|30.63||I|Standard Pricing|20.63|0.00|0.00|10.00|0.00","BRA505","2025-12-02 11:37:18.192"
"Price Code","U","Update","price","E6BB0329","N","30.63","35.63","BRA500","2026-02-21 17:47:05.667"
"Price Code","U","Update","price","E6BB0329","N","35.63","45.63","BRA509","2026-02-24 06:00:05.135"
"Price Code","U","Update","price","E6BB0329","N","45.63","40.63","BRA510","2026-03-11 23:12:29.225"
"Price Code","U","Update","price","E6BB0329","N","40.63","60.63","BRA503","2026-03-17 21:07:12.951"
"Price Code","U","Update","price","E6BB0329","N","60.63","70.63","BRA507","2026-03-27 22:28:26.951"
"Price Code","I","Insert",NA,"E6BB0329","O",NA,"22.1|22.1||I|Standard Pricing|12.1|0.00|0.00|10.00|0.00","BRA504","2025-11-23 09:29:43.227"
"Price Code","U","Update","price","E6BB0329","O","22.1","47.1","BRA510","2026-01-19 16:28:04.141"
"Price Code","U","Update","price","E6BB0329","O","47.1","62.1","BRA509","2026-01-21 15:42:05.545"
"Price Code","U","Update","price","E6BB0329","O","62.1","87.1","BRA508","2026-01-21 15:50:52.979"
"Price Code","U","Update","price","E6BB0329","O","87.1","117.1","BRA503","2026-02-07 03:48:52.048"
"Price Code","I","Insert",NA,"E6BB0330","A",NA,"274.79|274.79||I|Standard Pricing|264.79|0.00|0.00|10.00|0.00","BRA501","2025-11-10 01:45:11.560"
"Price Code","U","Update","price","E6BB0330","A","274.79","269.79","BRA501","2026-02-12 11:45:46.908"
"Price Code","U","Update","price","E6BB0330","A","269.79","254.79","BRA500","2026-02-17 15:10:19.793"
"Price Code","I","Insert",NA,"E6BB0330","B",NA,"203.23|203.23||I|Standard Pricing|193.23|0.00|0.00|10.00|0.00","BRA506","2025-12-03 00:34:12.814"
"Price Code","U","Update","price","E6BB0330","B","203.23","188.23","BRA508","2026-01-27 08:27:57.123"
"Price Code","U","Update","price","E6BB0330","B","188.23","183.23","BRA506","2026-02-01 01:09:22.336"
"Price Code","U","Update","price","E6BB0330","B","183.23","178.23","BRA504","2026-02-23 06:42:47.340"
"Price Code","I","Insert",NA,"E6BB0330","C",NA,"181.93|181.93||I|Standard Pricing|171.93|0.00|0.00|10.00|0.00","BRA502","2025-11-06 04:16:14.405"
"Price Code","U","Update","price","E6BB0330","C","181.93","211.93","BRA505","2026-01-27 12:24:05.069"
"Price Code","U","Update","price","E6BB0330","C","211.93","206.93","BRA504","2026-02-17 20:24:25.509"
"Price Code","U","Update","price","E6BB0330","C","206.93","216.93","BRA508","2026-03-24 09:12:18.880"
"Price Code","I","Insert",NA,"E6BB0330","D",NA,"168.14|168.14||I|Standard Pricing|158.14|0.00|0.00|10.00|0.00","BRA508","2025-12-09 18:29:00.664"
"Price Code","U","Update","price","E6BB0330","D","168.14","173.14","BRA506","2026-02-11 22:23:54.124"
"Price Code","U","Update","price","E6BB0330","D","173.14","198.14","BRA500","2026-02-20 07:32:09.701"
"Price Code","I","Insert",NA,"E6BB0330","E",NA,"161.87|161.87||I|Standard Pricing|151.87|0.00|0.00|10.00|0.00","BRA510","2025-12-03 05:46:57.424"
"Price Code","U","Update","price","E6BB0330","E","161.87","171.87","BRA506","2026-01-24 14:34:33.182"
"Price Code","U","Update","price","E6BB0330","E","171.87","166.87","BRA508","2026-03-22 16:07:30.625"
"Price Code","I","Insert",NA,"E6BB0330","F",NA,"123.6|123.6||I|Standard Pricing|113.6|0.00|0.00|10.00|0.00","BRA509","2025-12-07 03:11:27.673"
"Price Code","U","Update","price","E6BB0330","F","123.6","108.6","BRA508","2026-01-20 14:23:08.599"
"Price Code","U","Update","price","E6BB0330","F","108.6","133.6","BRA507","2026-02-15 22:19:11.314"
"Price Code","U","Update","price","E6BB0330","F","133.6","163.6","BRA502","2026-02-26 01:14:46.311"
"Price Code","U","Update","price","E6BB0330","F","163.6","158.6","BRA506","2026-02-27 15:07:22.225"
"Price Code","U","Update","price","E6BB0330","F","158.6","173.6","BRA509","2026-03-07 05:19:40.500"
"Price Code","I","Insert",NA,"E6BB0330","G",NA,"115.91|115.91||I|Standard Pricing|105.91|0.00|0.00|10.00|0.00","BRA501","2025-11-17 02:28:37.382"
"Price Code","U","Update","price","E6BB0330","G","115.91","105.91","BRA500","2026-02-04 13:41:20.075"
"Price Code","U","Update","price","E6BB0330","G","105.91","100.91","BRA505","2026-03-05 09:56:02.861"
"Price Code","U","Update","price","E6BB0330","G","100.91","130.91","BRA510","2026-03-19 17:53:45.786"
"Price Code","I","Insert",NA,"E6BB0330","H",NA,"91.89|91.89||I|Standard Pricing|81.89|0.00|0.00|10.00|0.00","BRA506","2025-11-14 01:38:38.759"
"Price Code","U","Update","price","E6BB0330","H","91.89","111.89","BRA508","2026-03-03 17:19:06.425"
"Price Code","U","Update","price","E6BB0330","H","111.89","106.89","BRA504","2026-03-19 05:22:45.187"
"Price Code","I","Insert",NA,"E6BB0330","I",NA,"66.86|66.86||I|Standard Pricing|56.86|0.00|0.00|10.00|0.00","BRA506","2025-11-06 12:35:15.821"
"Price Code","U","Update","price","E6BB0330","I","66.86","76.86","BRA502","2026-01-27 08:28:42.386"
"Price Code","U","Update","price","E6BB0330","I","76.86","81.86","BRA509","2026-01-28 18:30:02.995"
"Price Code","U","Update","price","E6BB0330","I","81.86","91.86","BRA504","2026-03-01 12:57:17.839"
"Price Code","U","Update","price","E6BB0330","I","91.86","86.86","BRA508","2026-03-05 09:17:16.536"
"Price Code","U","Update","price","E6BB0330","I","86.86","101.86","BRA507","2026-03-21 19:45:23.507"
"Price Code","I","Insert",NA,"E6BB0330","J",NA,"74|74||I|Standard Pricing|64|0.00|0.00|10.00|0.00","BRA508","2025-11-12 15:13:41.468"
"Price Code","U","Update","price","E6BB0330","J","74","69","BRA504","2026-01-15 23:04:42.576"
"Price Code","U","Update","price","E6BB0330","J","69","54","BRA504","2026-02-11 02:49:22.487"
"Price Code","U","Update","price","E6BB0330","J","54","59","BRA506","2026-03-23 06:04:24.996"
"Price Code","I","Insert",NA,"E6BB0330","K",NA,"48.45|48.45||I|Standard Pricing|38.45|0.00|0.00|10.00|0.00","BRA503","2025-12-01 00:03:04.148"
